                         ARK | Compare Intel® Products                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     11/1/2017 7:07:17 AM                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intel® Xeon® Platinum 8180M Processor (38.5M Cache, 2.50 GHz)","Intel® Xeon® Platinum 8180 Processor (38.5M Cache, 2.50 GHz)","Intel® Xeon® Platinum 8176M Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8176F Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8176 Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8170M Processor (35.75M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8170 Processor (35.75M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8168 Processor (33M Cache, 2.70 GHz)","Intel® Xeon® Platinum 8164 Processor (35.75M Cache, 2.00 GHz)","Intel® Xeon® Platinum 8160T Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160M Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160F Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160 Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8158 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Platinum 8156 Processor (16.5M Cache, 3.60 GHz)","Intel® Xeon® Platinum 8153 Processor (22M Cache, 2.00 GHz)","Intel® Xeon® Gold 6154 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Gold 6152 Processor (30.25M Cache, 2.10 GHz)","Intel® Xeon® Gold 6150 Processor (24.75M Cache, 2.70 GHz)","Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz)","Intel® Xeon® Gold 6148 Processor (27.5M Cache, 2.40 GHz)","Intel® Xeon® Gold 6146 Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6144 Processor (24.75M Cache, 3.50 GHz)","Intel® Xeon® Gold 6142M Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6142F Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6142 Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6140M Processor (24.75M Cache, 2.30 GHz)","Intel® Xeon® Gold 6140 Processor (24.75M Cache, 2.30 GHz)","Intel® Xeon® Gold 6138T Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6138F Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6138 Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6136 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Gold 6134M Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6134 Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6132 Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6130T Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6130F Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6130 Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6128 Processor (19.25M Cache, 3.40 GHz)","Intel® Xeon® Gold 6126T Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6126F Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6126 Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 5122 Processor (16.5M Cache, 3.60 GHz)","Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz)","Intel® Xeon® Gold 5120 Processor (19.25M Cache, 2.20 GHz)","Intel® Xeon® Gold 5119T Processor (19.25M Cache, 1.90 GHz)","Intel® Xeon® Gold 5118 Processor (16.5M Cache, 2.30 GHz)","Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz)","Intel® Xeon® Silver 4116T Processor (16.5M cache, 2.10 GHz)","Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz)","Intel® Xeon® Silver 4109T Processor (11M Cache, 2.00 GHz)","Intel® Xeon® Bronze 3106 Processor (11M Cache, 1.70 GHz)","Intel® Xeon® Bronze 3104 Processor (8.25M Cache, 1.70 GHz)","Intel® Xeon® Silver 4108 Processor (11M Cache, 1.80 GHz)","Intel® Xeon® Silver 4110 Processor (11M Cache, 2.10 GHz)","Intel® Xeon® Silver 4112 Processor (8.25M Cache, 2.60 GHz)","Intel® Xeon® Silver 4114 Processor (13.75M Cache, 2.20 GHz)","Intel® Xeon® Silver 4116 Processor (16.5M Cache, 2.10 GHz)",
Code Name, Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    , Skylake                    ,
Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,
Processor Number,8180M,8180,8176M,8176F,8176,8170M,8170,8168,8164,8160T,8160M,8160F,8160,8158,8156,8153,6154,6152,6150,6148F,6148,6146,6144,6142M,6142F,6142,6140M,6140,6138T,6138F,6138,6136,6134M,6134,6132,6130T,6130F,6130,6128,6126T,6126F,6126,5122,5120T,5120,5119T,5118,5115,4116T,4114T,4109T,3106,3104,4108,4110,4112,4114,4116,
Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,
Launch Date,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,
Recommended Customer Price,$13011.00,$10009.00,$11722.00,N/A,$8719.00,$10409.00,$7405.00 - $7411.00,$5890.00,$6114.00 - $6120.00,$4936.00,$7704.00,$4856.00,$4702.00 - $4708.00,$7007.00,$7007.00,$3115.00,$3543.00,$3655.00 - $3661.00,$3358.00,$3227.00,$3072.00 - $3078.00,$3286.00,$2925.00,$5949.00,$3101.00,$2946.00 - $2952.00,$5448.00,$2445.00 - $2451.00,$2742.00,$2767.00,$2612.00 - $2618.00,$2460.00,$5217.00,$2214.00 - $2220.00,$2111.00,$1988.00,$2049.00,$1894.00 - $1900.00,$1691.00 - $1697.00,$1865.00,$1931.00,$1776.00,$1221.00 - $1227.00,$1727.00,$1555.00 - $1561.00,$1555.00,$1273.00,$1221.00,$1112.00,$773.00,$501.00,$306.00 - $316.00,$213.00 - $223.00,$417.00 - $427.00,$501.00 - $511.00,$473.00 - $483.00,$694.00 - $704.00,$1002.00 - $1012.00,
Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Cores,28,28,28,28,28,26,26,24,26,24,24,24,24,12,4,16,18,22,18,20,20,12,8,16,16,16,18,18,20,20,20,12,8,8,14,16,16,16,6,12,12,12,4,14,14,14,12,10,12,10,8,8,6,8,8,4,10,12,
# of Threads,56,56,56,56,56,52,52,48,52,48,48,48,48,24,8,32,36,44,36,40,40,24,16,32,32,32,36,36,40,40,40,24,16,16,28,32,32,32,12,24,24,24,8,28,28,28,24,20,24,20,16,8,6,16,16,8,20,24,
Processor Base Frequency,2.50 GHz,2.50 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.70 GHz,2.00 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.10 GHz,3.00 GHz,3.60 GHz,2.00 GHz,3.00 GHz,2.10 GHz,2.70 GHz,2.40 GHz,2.40 GHz,3.20 GHz,3.50 GHz,2.60 GHz,2.60 GHz,2.60 GHz,2.30 GHz,2.30 GHz,2.00 GHz,2.00 GHz,2.00 GHz,3.00 GHz,3.20 GHz,3.20 GHz,2.60 GHz,2.10 GHz,2.10 GHz,2.10 GHz,3.40 GHz,2.60 GHz,2.60 GHz,2.60 GHz,3.60 GHz,2.20 GHz,2.20 GHz,1.90 GHz,2.30 GHz,2.40 GHz,2.10 GHz,2.20 GHz,2.00 GHz,1.70 GHz,1.70 GHz,1.80 GHz,2.10 GHz,2.60 GHz,2.20 GHz,2.10 GHz,
Max Turbo Frequency,3.80 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,2.80 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,4.20 GHz,4.20 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.00 GHz,3.00 GHz,3.00 GHz,,,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,
Cache,38.5 MB L3,38.5 MB L3,38.5 MB L3,38.5 MB L3,38.5 MB L3,35.75 MB L3,35.75 MB L3,33 MB L3,35.75 MB L3,33 MB L3,33 MB L3,33 MB L3,33 MB L3,24.75 MB L3,16.5 MB L3,22 MB L3,24.75 MB L3,30.25 MB L3,24.75 MB L3,27.5 MB L3,27.5 MB L3,24.75 MB L3,24.75 MB L3,22 MB L3,22 MB L3,22 MB L3,24.75 MB L3,24.75 MB L3,27.5 MB L3,27.5 MB L3,27.5 MB L3,24.75 MB L3,24.75 MB L3,24.75 MB L3,19.25 MB L3,22 MB L3,22 MB L3,22 MB L3,19.25 MB L3,19.25 MB L3,19.25 MB L3,19.25 MB L3,16.5 MB L3,19.25 MB L3,19.25 MB L3,19.25 MB L3,16.5 MB L3,13.75 MB L3,16.5 MB L3,13.75 MB L3,11 MB L3,11 MB L3,8.25 MB L3,11 MB L3,11 MB L3,8.25 MB L3,13.75 MB L3,16.5 MB L3,
# of UPI Links,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
TDP,205 W,205 W,165 W,173 W,165 W,165 W,165 W,205 W,150 W,150 W,150 W,160 W,150 W,150 W,105 W,125 W,200 W,140 W,165 W,160 W,150 W,165 W,150 W,150 W,160 W,150 W,140 W,140 W,125 W,135 W,125 W,150 W,130 W,130 W,140 W,125 W,135 W,125 W,115 W,125 W,135 W,125 W,105 W,105 W,105 W,85 W,105 W,85 W,85 W,85 W,70 W,85 W,85 W,85 W,85 W,85 W,85 W,85 W,
Supplemental Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedded Options Available,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Conflict Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Datasheet,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,
Product Brief,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,
Memory Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Memory Size (dependent on memory type),1.5 TB,768 GB,1.5 TB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,
